Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Assess_suite1,Chrome 125.0.0.0,,,13-06-2024 13:18,13-06-2024 13:30,11m - 49.828s,FAILED
,,,,,,,
Test Cases/ASSESS_Bhu,Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,34.505s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,4.665s,PASSED
"navigateToUrl(""https://www.bhu.ac.in/Site/Home/1_2_16_Main-Site"")",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,27.030s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/div__logo-box m-r-cell""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.356s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/h2_Banaras Hindu University""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.299s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/h3_Notices""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.329s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/div_Obscura-Photography CompetitionExhibiti_ed044b""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.533s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/h3_Stories From The Ground""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.355s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/h6_National Portal Links""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.310s,PASSED
"click(findTestObject(""Object Repository/bhu/Page_Home - Banaras Hindu University, Varan_07f604/h1_This page is managed by Computer Center (BHU)""))",Chrome 125.0.0.0,,,13-06-2024 13:20,13-06-2024 13:20,0.309s,PASSED
